subdis_id,subdis_name,dis_id
488,BALEE BAROH BLUEK,191
489,BALEE BAROH GAPUI,191
550,BARO BLUEK,191
551,BARO GAPUI,191
552,BARO JRUEK,191
670,BEUREUDEUP,191
818,BLANG GAROT,191
869,BLANG LHOK KAJU,191
956,BLANG RAPAI GAPUI,191
1420,COT SEUKEE,191
1538,DAYAH BIE,191
1545,DAYAH CALEUE,191
1553,DAYAH KEURAKO,191
1566,DAYAH MUARA GAROT,191
1639,DRIEN,191
1743,GAMPONG JURONG,191
1814,GAROT CUT,191
1920,GLEE GAPUI,191
1953,GUCI,191
2402,KEUBANG,191
2514,KEUTAPANG,191
3037,LAMKABU,191
3103,LAMREUNEUNG,191
3759,MESJID BARO,191
3769,MESJID DIJIEM,191
3778,MESJID LAM UJONG,191
3793,MESJID SUWIEK,191
3800,MESJID TUNGKOP,191
3802,MESJID ULEE GAMPONG,191
3838,MEULAYU,191
4198,NEULOP II,191
4387,PANTE GAROT,191
4400,PANTE LHOK KAJU,191
4804,PEUTOU,191
4909,PULO GAMPONG U,191
5116,RAWA TUNGKOP,191
5122,RAYA LHOK KAJU,191
5223,RUMIA,191
5766,SUKON TUNGKOP,191
5767,SUKON ULEE GAMPONG,191
5817,TAMPIENG BAROH,191
5819,TAMPING / TAMPIENG TUNONG,191
6024,TEUNGOH BLANG,191
6037,TEUNGOH SUWIEK,191
6158,TUHA SUWIEK,191
6184,TUNGKOP CUT,191
6317,ULEE BIRAH,191
6419,WAKEUEH,191
6458,YUB MEE,191
